player,nation,position,team,age,birth_year,matches_played,Starts,minutes,90s,goals,assists,G+A,G-PK,PK,PKatt,yellow_cards,red_cards,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,market_value_eur,age_tm,nationality_tm,age_num,pos_group,cluster_kmeans,cluster_dbscan,pca_x,pca_y,cluster_label
Santiago Sosa,ar ARG,"MF,DF",Racing Club,27-046,1999.0,16,16,1412,15.688888888888888,0.0,0.0637,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,0.8286,0.1275,15.4,0.83,0.13,0.0,0.0,88.0,98.1,88.0,14,0,,0,1.33,16.0,15.0,1.0,0.06,-3.15,0,1.5297,0.5099,0,0.3187,1.7847,1.211,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,2000000.0,21.0,Argentina,27.0,Defensor,1,0,0.7843,-0.1024,Defensor mixto
Alexis Soto,ar ARG,DF,Rosario Central,32-241,1993.0,14,8,787,8.744444444444444,0.1144,0.0,1,1,0,0,1,0,0.11,0.0,0.11,0.11,0.11,0.3431,0.1144,33.3,0.34,0.11,0.33,1.0,56.0,54.7,82.0,5,6,23.0,2,1.88,11.0,7.0,4.0,0.46,0.46,0,0.6861,0.5718,0,1.2579,1.2579,1.2579,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1200000.0,32.0,Argentina,32.0,Defensor,2,0,0.6879,-0.2916,Defensor con proyeccion ofensiva
Guillermo Soto,cl CHI,DF,Tigre,32-159,1994.0,5,3,298,3.311111111111111,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.604,0.0,0.0,0.6,0.0,0.0,0.0,60.0,20.7,90.0,3,2,14.0,4,1.0,4.0,3.0,1.0,0.3,0.14,0,1.8121,0.0,0,5.4362,0.302,0.302,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,300000.0,32.0,Chile,32.0,Defensor,4,-1,-1.6471,0.7931,Defensor — alto market_value_eur
Lucas Souto,ar ARG,"DF,MF",Defensa,27-250,1998.0,15,15,1305,14.5,0.069,0.0,1,1,0,0,0,0,0.07,0.0,0.07,0.07,0.07,0.4138,0.069,16.7,0.41,0.07,0.17,1.0,87.0,90.6,87.0,14,0,,0,1.27,17.0,19.0,-2.0,-0.14,0.53,0,1.1724,0.4138,0,0.6207,2.4828,0.7586,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,400000.0,27.0,Argentina,27.0,Defensor,1,0,0.7342,-1.25,Defensor mixto
Adrián Sporle,ar ARG,DF,Belgrano,30-340,1995.0,12,8,733,8.144444444444444,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2456,0.0,0.0,0.25,0.0,0.0,0.0,61.0,50.9,75.0,5,4,33.0,0,2.0,12.0,6.0,6.0,0.74,0.99,0,1.105,0.2456,0,3.4379,1.2278,1.5962,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,300000.0,30.0,Argentina,30.0,Defensor,4,0,-0.8233,0.4547,Defensor — alto market_value_eur
Alexis Steimbach,ar ARG,DF,Gimnasia–LP,23-328,2002.0,15,15,1337,14.855555555555556,0.0,0.2019,3,0,0,0,7,0,0.0,0.2,0.2,0.0,0.2,0.5385,0.0,0.0,0.54,0.0,0.0,0.0,89.0,92.8,89.0,14,0,,0,1.71,19.0,16.0,3.0,0.2,2.82,0,1.077,1.2117,1,3.9043,1.5482,1.8175,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,2200000.0,23.0,Argentina,23.0,Defensor,0,-1,0.842,2.5042,Defensor defensivo puro
Sheyko Studer,ar ARG,DF,Ind. Rivadavia,23-218,2002.0,13,13,1170,13.0,0.1538,0.0,2,2,0,0,3,0,0.15,0.0,0.15,0.15,0.15,0.6154,0.3077,50.0,0.62,0.31,0.25,0.5,90.0,81.3,90.0,13,0,,3,2.07,25.0,13.0,12.0,0.92,0.26,0,0.8462,1.4615,0,0.1538,1.5385,0.5385,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,6000000.0,23.0,Argentina,23.0,Defensor,3,-1,3.1361,-0.6201,Defensor de bajo impacto
Lucas Suárez,ar ARG,DF,Sarmiento–J,31-093,1995.0,11,8,640,7.111111111111111,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2812,0.1406,50.0,0.28,0.14,0.0,0.0,58.0,44.4,77.0,5,3,9.0,2,1.45,5.0,9.0,-4.0,-0.56,-0.23,0,1.4062,0.7031,2,0.9844,1.2656,1.125,,,1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,400000.0,31.0,Argentina,31.0,Defensor,1,0,-0.8351,-0.612,Defensor mixto
Gastón Suso,ar ARG,DF,Atlé Tucumán,35-098,1991.0,16,16,1417,15.744444444444444,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3811,0.0635,16.7,0.38,0.06,0.0,0.0,89.0,98.4,89.0,15,0,,0,0.88,15.0,20.0,-5.0,-0.32,-0.32,0,0.6987,0.5081,1,0.0,1.2703,1.0162,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,275000.0,35.0,Argentina,35.0,Defensor,1,0,0.9857,-0.9721,Defensor mixto
Fernando Tobio,ar ARG,DF,Barracas Central,36-243,1989.0,14,14,1251,13.9,0.1439,0.0,2,2,0,0,0,0,0.14,0.0,0.14,0.14,0.14,0.4317,0.1439,33.3,0.43,0.14,0.33,1.0,89.0,86.9,89.0,13,0,,1,1.43,13.0,12.0,1.0,0.07,0.55,0,0.2158,0.2158,0,0.0719,0.6475,0.6475,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,125000.0,36.0,Argentina,36.0,Defensor,2,0,1.9312,-0.7882,Defensor con proyeccion ofensiva
Sebastián Valdez,ar ARG,DF,Independiente,30-224,1995.0,13,12,1082,12.022222222222222,0.0,0.0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.2495,0.0,0.0,0.25,0.0,0.0,0.0,83.0,75.1,90.0,11,1,3.0,2,1.36,16.0,15.0,1.0,0.08,-0.67,1,0.6654,0.9982,2,0.0832,1.5804,0.9982,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,1500000.0,30.0,Argentina,30.0,Defensor,1,0,0.8695,-1.1426,Defensor mixto
Matías Valenti,ar ARG,DF,Estudiantes–RC,23-288,2002.0,12,11,906,10.066666666666666,0.0,0.0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.3,0.0,0.0,0.0,76.0,62.9,82.0,9,1,6.0,2,0.33,2.0,12.0,-10.0,-0.99,0.52,0,1.0927,0.1987,2,0.3974,1.1921,1.0927,,,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,23.0,Defensor,1,0,-0.2427,-0.8284,Defensor mixto
